   , Year  , Datetime           , Stage                   , Stadium                                           , City                             , Home Team Name               , Home Team Goals, Away Team Goals, Away Team Name               , Attendance, Half-time Home Goals, Half-time Away Goals, Referee                             , Assistant 1                         , Assistant 2                         , RoundID, MatchID, Home Team Initials, Away Team Initials
413, 1990.0, 1990-06-09 17:00:00, Group B                 , Stadio San Nicola                                 , Bari                             , Soviet Union                 ,               0,               2, Romania                      ,      42907,                  0.0,                  1.0, CARDELLINO DE SAN VICENTE Juan (URU), SORIANO ALADREN Emilio (ESP)        , SILVA ARCE Hernan (CHI)             ,     414,   10414, URS               , ROU
414, 1990.0, 1990-06-09 17:00:00, Group D                 , Renato Dall Ara                                   , Bologna                          , "rn"">United Arab Emirates"  ,               0,               2, Colombia                     ,      30791,                  0.0,                  0.0, COURTNEY George (ENG)               , TAKADA Shizuo (JPN)                 , SNODDY Alan (NIR)                   ,     415,   10415, UAE               , COL
415, 1990.0, 1990-06-09 21:00:00, Group A                 , Stadio Olimpico                                   , Rome                             , Italy                        ,               1,               0, Austria                      ,      73303,                  0.0,                  0.0, RAMIZ WRIGHT Jose (BRA)             , PEREZ HOYOS Armando (COL)           , SILVA VALENTE Carlos Alberto (POR)  ,     416,   10416, ITA               , AUT
416, 1990.0, 1990-06-10 17:00:00, Group A                 , Comunale                                          , Florence                         , USA                          ,               1,               5, Czechoslovakia               ,      33266,                  0.0,                  2.0, ROETHLISBERGER Kurt (SUI)           , VAN LANGENHOVE Marcel (BEL)         , SCHMIDHUBER Aron (GER)              ,     417,   10417, USA               , TCH
417, 1990.0, 1990-06-10 21:00:00, Group C                 , Stadio delle Alpi                                 , Turin                            , Brazil                       ,               2,               1, Sweden                       ,      62628,                  1.0,                  0.0, LANESE Tullio (ITA)                 , VAUTROT Michel (FRA)                , JOUINI Neji (TUN)                   ,     418,   10418, BRA               , SWE
418, 1990.0, 1990-06-10 21:00:00, Group D                 , Giuseppe Meazza                                   , Milan                            , Germany FR                   ,               4,               1, Yugoslavia                   ,      74765,                  2.0,                  0.0, MIKKELSEN Peter (DEN)               , MANDI Jassim (BHR)                  , LISTKIEWICZ Michal (POL)            ,     419,   10419, FRG               , YUG
419, 1990.0, 1990-06-11 17:00:00, Group C                 , Luigi Ferraris                                    , Genoa                            , Costa Rica                   ,               1,               0, Scotland                     ,      30867,                  0.0,                  0.0, LOUSTAU Juan (ARG)                  , MACIEL Carlos (PAR)                 , JACOME GUERRERO Elias V. (ECU)      ,     420,   10420, CRC               , SCO
420, 1990.0, 1990-06-11 21:00:00, Group F                 , Sant Elia                                         , Cagliari                         , England                      ,               1,               1, "rn"">Republic of Ireland"   ,      35238,                  1.0,                  0.0, SCHMIDHUBER Aron (GER)              , FREDRIKSSON Erik (SWE)              , ROETHLISBERGER Kurt (SUI)           ,     421,   10421, ENG               , IRL
421, 1990.0, 1990-06-12 17:00:00, Group E                 , Marc Antonio Bentegodi                            , Verona                           , Belgium                      ,               2,               0, Korea Republic               ,      32790,                  0.0,                  0.0, MAURO Vincent (USA)                 , SNODDY Alan (NIR)                   , COURTNEY George (ENG)               ,     422,   10422, BEL               , KOR
422, 1990.0, 1990-06-12 21:00:00, Group F                 , Della Favorita                                    , Palermo                          , Netherlands                  ,               1,               1, Egypt                        ,      33288,                  0.0,                  0.0, SORIANO ALADREN Emilio (ESP)        , CODESAL MENDEZ Edgardo (MEX)        , CARDELLINO DE SAN VICENTE Juan (URU),     423,   10423, NED               , EGY
423, 1990.0, 1990-06-13 17:00:00, Group E                 , Dacia Arena                                       , Udine                            , Uruguay                      ,               0,               0, Spain                        ,      35713,                  0.0,                  0.0, KOHL Helmut (AUT)                   , SPIRIN Alexey (RUS)                 , KIRSCHEN Siegfried (GER)            ,     424,   10424, URU               , ESP
424, 1990.0, 1990-06-13 21:00:00, Group B                 , San Paolo                                         , Naples                           , Argentina                    ,               2,               0, Soviet Union                 ,      55759,                  1.0,                  0.0, FREDRIKSSON Erik (SWE)              , RAMIZ WRIGHT Jose (BRA)             , AL SHARIF Jamal (SYR)               ,     425,   10425, ARG               , URS
425, 1990.0, 1990-06-14 17:00:00, Group B                 , Stadio San Nicola                                 , Bari                             , Cameroon                     ,               2,               1, Romania                      ,      38687,                  0.0,                  0.0, SILVA ARCE Hernan (CHI)             , SILVA VALENTE Carlos Alberto (POR)  , PEREZ HOYOS Armando (COL)           ,     426,   10426, CMR               , ROU
426, 1990.0, 1990-06-14 17:00:00, Group D                 , Renato Dall Ara                                   , Bologna                          , Yugoslavia                   ,               1,               0, Colombia                     ,      32257,                  0.0,                  0.0, AGNOLIN Luigi (ITA)                 , JOUINI Neji (TUN)                   , DIRAMBA Jean Fidele (GAB)           ,     427,   10427, YUG               , COL
427, 1990.0, 1990-06-14 21:00:00, Group A                 , Stadio Olimpico                                   , Rome                             , Italy                        ,               1,               0, USA                          ,      73423,                  1.0,                  0.0, CODESAL MENDEZ Edgardo (MEX)        , CARDELLINO DE SAN VICENTE Juan (URU), ULLOA MORERA Berny (CRC)            ,     428,   10428, ITA               , USA
428, 1990.0, 1990-06-15 17:00:00, Group A                 , Comunale                                          , Florence                         , Austria                      ,               0,               1, Czechoslovakia               ,      38962,                  0.0,                  1.0, SMITH George (SCO)                  , LORENC Richard (AUS)                , AL SHARIF Jamal (SYR)               ,     429,   10429, AUT               , TCH
429, 1990.0, 1990-06-15 21:00:00, Group D                 , Giuseppe Meazza                                   , Milan                            , Germany FR                   ,               5,               1, "rn"">United Arab Emirates"  ,      71169,                  2.0,                  0.0, SPIRIN Alexey (RUS)                 , TAKADA Shizuo (JPN)                 , PAIRETTO Pierluigi (ITA)            ,     430,   10430, FRG               , UAE
430, 1990.0, 1990-06-16 17:00:00, Group C                 , Stadio delle Alpi                                 , Turin                            , Brazil                       ,               1,               0, Costa Rica                   ,      58007,                  1.0,                  0.0, JOUINI Neji (TUN)                   , DIRAMBA Jean Fidele (GAB)           , MANDI Jassim (BHR)                  ,     431,   10431, BRA               , CRC
